,ID,file,dataset,area,genotype,node,base_x,base_y,tip_x,tip_y
215,1104,1104-813.jpg,apple,20.301,Malus domestica,NA,1177,5320,1044.5,8986.5
216,1104,1104-814.jpg,apple,17.042,Malus domestica,NA,5064,5756,4886.5,8850.5
217,1106,1106-181.jpg,apple,14.68,Malus domestica,NA,3899.5,7777.5,4154.5,3900.5
218,1106,1106-183.jpg,apple,17.131,Malus domestica,NA,4480,7982,3799.5,3715.5
219,1106,1106-185.jpg,apple,19.288,Malus domestica,NA,4163.5,8097.5,3695.5,3581.5
220,1106,1106-189.jpg,apple,14.783,Malus domestica,NA,4411.5,4055.5,3859.5,7633.5
221,1106,1106-191.jpg,apple,15.561,Malus domestica,NA,4119.5,3547.5,3561.5,8141.5
222,1106,1106-193.jpg,apple,17.865,Malus domestica,NA,4042,3826,3879.5,7866.5
223,1106,1106-2-174.jpg,apple,15.369,Malus domestica,NA,3656,3782,4399.5,7907.5
224,1106,1106-2-178.jpg,apple,17.943,Malus domestica,NA,4199.5,3883.5,3807.5,7809.5
225,1112,1112-2-945.jpg,apple,26.912,Malus domestica,NA,4155.5,1181.5,7685.5,1111.5
226,1112,1112-2-946.jpg,apple,29.233,Malus domestica,NA,2330,6068,1713.5,2169.5
227,1112,1112-2-947.jpg,apple,30.263,Malus domestica,NA,5141.5,6323.5,4226.5,2227.5
228,1112,1112-2-948.jpg,apple,24.137,Malus domestica,NA,7128.5,6145.5,6930.5,2489.5
229,1112,1112-2-949.jpg,apple,28.437,Malus domestica,NA,6119.5,4723.5,5763.5,8809.5
230,1112,1112-2-950.jpg,apple,25.117,Malus domestica,NA,3520.5,4957.5,3472.5,8434.5
231,1112,1112-2-951.jpg,apple,28.46,Malus domestica,NA,1346.5,5253.5,1385.5,9078.5
232,1112,1112-954.jpg,apple,34.224,Malus domestica,NA,3872,3725,3923.5,7872.5
233,1112,1112-955.jpg,apple,27.432,Malus domestica,NA,1841,4288,1378.5,7937.5
234,1116,1116-2-816.jpg,apple,27.822,Malus domestica,NA,3780,4596,4091.5,597.5
235,1116,1116-2-817.jpg,apple,21.905,Malus domestica,NA,5813,4860,6140.5,955.5
236,1116,1116-2-819.jpg,apple,19.734,Malus domestica,NA,595.5,4396.5,1049.5,8116.5
237,1116,1116-2-820.jpg,apple,22.492,Malus domestica,NA,4620.5,4523.5,4773.5,8331.5
238,1116,1116-2-821.jpg,apple,18.629,Malus domestica,NA,2460,4540,2613.5,8231.5
